season,player_name,team,goals,played
2016-i,Harold Preciado,,8,13
2016-i,Oscar Estupiñan,,8,15
2016-i,Edis Ibargüen,,8,19
2016-i,Orlando Berrío,,8,20
2016-i,Michael Rangel,,7,14
2016-ii,Ayron del Valle,,12,20
2016-ii,Diego Álvarez,,11,21
2016-ii,Darío Rodríguez,,10,22
2016-ii,Luis Páez,,9,16
2016-ii,Angelo Rodríguez,,9,19
2016-ii,Michael Rangel,,8,17
2016-ii,Carlos Peralta,,7,17
2016-ii,Christian Marrugo,,7,19
2016-ii,Omar Duarte,,7,19
2016-ii,Jown Cardona,,7,20
2017-i,Dayro Moreno,,14,19
2017-i,Feiver Mercado,,11,19
2017-i,Jefferson Duque,,10,18
2017-i,Santiago Tréllez,,9,15
2017-i,Cristian Martínez Borja,,9,18
2017-i,César Augusto Arias,,9,19
2017-i,Sergio Almirón,,8,13
2017-i,Juan Fernando Quintero,,8,15
2017-i,Yamilson Rivera,,8,15
2017-i,Roberto Ovelar,,7,14
2017-ii,Yimmi Chará,,11,17
2017-ii,Dayro Moreno,,11,19
2017-ii,Ayron del Valle,,11,21
2017-ii,Carmelo Valencia,,11,22
2017-ii,Ángelo Rodríguez,,9,14
2017-ii,Wilson Morelo,,8,13
2017-ii,Agustín Vuletich,,8,13
2017-ii,Marco Pérez,,8,20
2017-ii,Teófilo Gutiérrez,,7,14
2017-ii,Pablo Rojas,,7,19
2018-i,Germán Cano,,12,22
2018-i,Dayro Moreno,,9,18
2018-i,Iván Rivas,,9,21
2018-i,Omar Duarte,,8,18
2018-i,Humberto Osorio,,8,18
2018-i,Edder Farías,,8,19
2018-i,Cristian Martínez Borja,,8,19
2018-i,Carlos Peralta,,7,11
2018-i,José Sand,,7,15
2018-i,Yairo Moreno,,7,16
2018-ii,Germán Cano,,20,25
2018-ii,Marco Pérez,,17,22
2018-ii,Michael Rangel,,11,21
2018-ii,Dayro Moreno,,10,12
2018-ii,Carlos Peralta,,10,16
2018-ii,Diego Valdés,,10,17
2018-ii,Luis Díaz,,10,18
2018-ii,David Lemos,,8,13
2018-ii,César Arias,,8,16
2018-ii,Wilson Morelo,,7,16
2019-i,Germán Cano,,21,20
2019-i,Juan Dinenno,,15,25
2019-i,Fernando Aristeguieta,,14,22
2019-i,Carlos Peralta,,10,17
2019-i,Marco Pérez,,10,20
2019-i,Jonathan Agudelo,,9,19
2019-i,Ricardo Márquez,,9,22
2019-i,Hernán Barcos,,7,20
2019-i,Fabián González,,6,20
2019-i,Alexis Zapata,,6,20
2019-ii,Germán Cano,,13,17
2019-ii,Michael Rangel,,13,23
2019-ii,Juan Dinenno,,12,23
2019-ii,Carmelo Valencia,,10,25
2019-ii,Jhon Vásquez,,9,24
2019-ii,José Guillermo Ortiz,,7,12
2019-ii,Daniel Muñoz,,7,20
2019-ii,Maicol Balanta,,7,22
2019-ii,John Freddy Pérez,,6,18
2019-ii,Jefferson Duque,,6,23
2020,Miguel Borja,,14,23
2020,Jáder Obrian,,13,22
2020,Agustín Palavecino,,10,19
2020,Matías Mier,,10,19
2020,Cristian Arango,,10,21
2020,Jefferson Duque,,9,15
2020,Adrián Ramos,,9,18
2020,Diego Herazo,,9,22
2020,Jorge Luis Ramos,,7,19
2020,Ayron del Valle,,7,20
2021-i,Jefferson Duque,,11,17
2021-i,Fernando Uribe,,11,19
2021-i,Diego Herazo,,11,21
2021-i,Cristian Arango,,9,22
